,timestamp,wind_speed,active_power
4741,2021-02-02 13:00:00,3.05085,0.1010756847567589
21336,2023-07-16 06:00:00,3.051102588993479,0.0706938833643213
128,2020-07-06 12:00:00,3.05128,0.06631744951346773
16999,2022-12-20 23:00:00,3.051412859135713,0.05257612643534913
16928,2022-12-17 22:00:00,3.051468295566101,0.0505702199406178
18700,2023-03-03 12:00:00,3.051563799378846,0.03147552222742917
14880,2022-09-17 16:00:00,3.051934807390741,0.04497467599945832
12168,2022-03-09 21:00:00,3.05216,0.0933297934732966
2051,2020-10-03 08:00:00,3.0522,0.1066397438958654
23160,2023-11-05 04:00:00,3.052656348861226,0.1089226025140815
10526,2021-11-07 05:00:00,3.05288,0.07970549315029501
15108,2022-09-27 23:00:00,3.053226682175439,0.05491380741200941
13357,2022-07-02 04:00:00,3.053407488055556,0.02479475480719408
22310,2023-09-10 17:00:00,3.054030794365386,0.05462068393119524
13396,2022-07-03 19:00:00,3.054579580724489,0.05227590094610337
22634,2023-10-07 05:00:00,3.055132452642223,0.1238552675101093
20679,2023-06-03 05:00:00,3.055752694602274,0.07415212855158865
11236,2022-01-27 13:00:00,3.0581,0.04492551042961536
10907,2021-11-24 04:00:00,3.05878,0.08889561463668902
17629,2023-01-16 10:00:00,3.059893300660525,0.08457287722309811
14748,2022-09-12 01:00:00,3.060266682385186,0.04296921785546005
16268,2022-11-20 03:00:00,3.060781030333898,0.03948419332127141
10144,2021-10-11 05:00:00,3.06128,0.09305449017999308
11233,2022-01-27 03:00:00,3.0616,0.002109637109570963
20084,2023-05-04 03:00:00,3.062799954404999,0.07074538063344771
200,2020-07-09 20:00:00,3.06297,0.06855496838022733
17132,2022-12-26 12:00:00,3.063028927510345,0.0339269746800591
8883,2021-08-15 20:00:00,3.06377,0.1027472749505696
19945,2023-04-28 07:00:00,3.064023422034147,0.08701397795548847
2591,2020-10-29 07:00:00,3.06459,0.07982147969636665
925,2020-08-11 08:00:00,3.06494,0.09141931053544636
486,2020-07-22 09:00:00,3.06522,0.1158036695572234
11687,2022-02-16 12:00:00,3.06536,0.08768714685908194
4653,2021-01-29 21:00:00,3.06598,0.1066970781544349
22855,2023-10-23 04:00:00,3.065989040856862,0.080357246097792
101,2020-07-05 09:00:00,3.067,0.09722753453432292
9126,2021-08-26 08:00:00,3.06755,0.0804075083105382
1256,2020-08-26 00:00:00,3.0676,0.1053573017444144
2614,2020-10-30 06:00:00,3.06802,0.09950854835585937
2394,2020-10-20 16:00:00,3.06863,0.1101368041613716
