dateTime,day T,night T,precipitation,pressure,huminity,wind,energy
2020-05-25,14,9,2,765,76,5,178.56854166666668
2020-05-26,19,7,2,769,62,1,7.919479166666666
2020-05-27,20,10,2,766,54,4,60.931041666666665
2020-05-28,18,6,1,766,52,4,96.88958333333335
2020-05-29,18,6,1,764,51,3,57.47458333333333
2020-05-30,18,7,2,762,56,5,87.28635416666667
2020-05-31,19,6,1,760,61,5,108.020625
2019-09-09,17,11,2,752,72,4,41.84708333333334
2019-09-10,17,10,1,754,55,8,238.7715625
2019-09-11,21,10,2,759,43,5,56.0615625
2019-09-12,22,13,2,763,66,6,332.80125
2019-09-13,20,14,2,765,85,4,125.47802083333333
2019-09-14,19,8,1,767,44,0,26.564270833333335
2019-09-15,21,10,1,759,40,6,167.3896875
2019-09-16,12,11,2,756,94,1,51.004687499999996
2019-09-17,15,8,2,755,62,9,278.3229166666667
2019-09-18,15,7,2,761,54,6,151.5284375
2019-09-19,14,5,1,765,54,4,59.97739583333333
2019-09-20,16,6,1,763,61,1,24.775833333333335
2019-09-21,21,9,0,759,46,3,66.5678125
2019-09-22,25,10,1,752,41,4,86.06822916666665
2019-09-23,21,11,2,753,73,3,55.443854166666675
2019-09-24,23,12,2,752,54,2,38.641041666666666
2019-09-25,18,13,2,747,69,6,59.67510416666667
2019-09-26,19,11,2,751,74,4,104.10135416666667
2019-09-27,17,15,2,750,83,4,148.739375
2019-09-28,18,12,2,749,62,8,315.5551041666667
2019-09-29,16,13,2,745,73,7,321.3780208333333
2019-09-30,16,12,2,747,66,10,406.09833333333336
2020-09-01,20,11,2,756,50,3,230.68322916666668
2020-09-02,20,11,2,756,57,3,563.4203125
2020-09-03,21,10,2,757,50,4,143.358125
2020-09-04,22,14,2,758,71,6,56.369375
2020-09-05,18,13,2,755,69,5,30.6840625
2020-09-06,18,9,2,756,54,5,38.88822916666667
2020-09-07,19,9,2,760,59,4,67.32072916666665
2020-09-08,20,13,1,761,63,6,43.04260416666667
2020-09-09,23,16,2,757,65,6,111.65270833333334
2020-09-13,23,12,1,761,57,5,76.84781249999999
2020-09-14,28,14,1,762,44,2,28.029479166666665
2020-09-15,28,17,1,758,47,2,11.092916666666667
2020-09-16,26,17,1,757,54,3,76.625
