Month,Device,Place,BannerType,QueryType,TargetingType,Shows,Clicks,Cost,Conversions
5/1/2021,Mobile,Search,text,Other,Phrase,23747,945,787369,28
5/1/2021,Desktop,Networks,text,none,Phrase,4008987,4064,143247,10
5/1/2021,Desktop,Networks,text,none,Retargeting,372254,350,6819,0
5/1/2021,Desktop,Search,text,Brand,Phrase,15028,3328,650313,234
5/1/2021,Desktop,Search,text,Competitor,Phrase,7785,110,32016,2
5/1/2021,Desktop,Search,text,Other,Phrase,101203,2615,1174747,123
5/1/2021,Mobile,Networks,text,none,Phrase,221852,1113,15971,3
5/1/2021,Mobile,Networks,text,none,Retargeting,291465,1830,23386,1
5/1/2021,Mobile,Search,text,Brand,Phrase,1899,735,250015,48
5/1/2021,Mobile,Search,text,Competitor,Phrase,2331,17,6727,1
5/1/2021,Mobile,Search,text,Other,Phrase,29508,603,271275,23
5/1/2021,Desktop,Networks,text,none,Phrase,0,0,0,0
5/1/2021,Desktop,Networks,text,none,Retargeting,0,0,0,0
5/1/2021,Desktop,Search,text,Brand,Phrase,65174,14774,1672048,1580
5/1/2021,Desktop,Search,text,Competitor,Phrase,86289,1197,482496,39
5/1/2021,Desktop,Search,text,Other,Phrase,114079,2887,526035,54
5/1/2021,Mobile,Networks,text,none,Phrase,0,0,0,0
5/1/2021,Mobile,Search,text,Brand,Phrase,29761,7037,784723,300
5/1/2021,Mobile,Search,text,Competitor,Phrase,30594,777,704065,15
5/1/2021,Mobile,Search,text,Other,Phrase,72338,2919,2634661,69
5/1/2021,Desktop,Networks,text,none,Phrase,0,0,0,0
5/1/2021,Desktop,Networks,text,none,Retargeting,1237776,1878,144537,10
5/1/2021,Desktop,Search,text,Brand,Phrase,95238,18927,2054820,1221
5/1/2021,Desktop,Search,text,Competitor,Phrase,298948,4086,637333,105
5/1/2021,Desktop,Search,text,Other,Phrase,501568,14864,1911584,594
5/1/2021,Mobile,Networks,text,none,Phrase,0,0,0,0
5/1/2021,Mobile,Networks,text,none,Retargeting,334219,3788,58400,2
5/1/2021,Mobile,Search,text,Brand,Phrase,19452,4495,571398,297
5/1/2021,Mobile,Search,text,Competitor,Phrase,64121,1178,130041,22
5/1/2021,Mobile,Search,text,Other,Phrase,164281,4371,557255,189
5/1/2021,Desktop,Networks,cpm_banner,none,Phrase,0,0,0,0
5/1/2021,Desktop,Networks,cpm_banner,none,Retargeting,0,0,0,0
5/1/2021,Mobile,Networks,cpm_banner,none,Phrase,0,0,0,0
5/1/2021,Mobile,Networks,cpm_banner,none,Retargeting,0,0,0,0
5/1/2021,Desktop,Networks,cpm_banner,none,Retargeting,0,0,0,0
5/1/2021,Mobile,Networks,cpm_banner,none,Retargeting,0,0,0,0
6/1/2021,Desktop,Networks,cpc_video,none,Retargeting,28256,128,11406,0
6/1/2021,Mobile,Networks,cpc_video,none,Retargeting,568,3,80,0
6/1/2021,Desktop,Networks,image_ad,none,Phrase,4357148,3295,78387,6
6/1/2021,Desktop,Networks,image_ad,none,Retargeting,6619038,11029,852721,40
6/1/2021,Mobile,Networks,image_ad,none,Phrase,469953,6571,73904,8
6/1/2021,Mobile,Networks,image_ad,none,Retargeting,5042061,61412,1754230,41
6/1/2021,Desktop,Networks,image_ad,none,Phrase,9160,14,291,0
6/1/2021,Desktop,Networks,image_ad,none,Retargeting,518,2,111,0
6/1/2021,Mobile,Networks,image_ad,none,Phrase,1,0,0,0
6/1/2021,Mobile,Networks,image_ad,none,Retargeting,1,0,0,0
6/1/2021,Desktop,Networks,image_ad,none,Phrase,207828,193,4370,0
6/1/2021,Desktop,Networks,image_ad,none,Retargeting,477,0,0,0
6/1/2021,Mobile,Networks,image_ad,none,Phrase,6633,60,442,0
6/1/2021,Mobile,Networks,image_ad,none,Retargeting,13,0,0,0
6/1/2021,Desktop,Networks,image_ad,none,Phrase,4554325,7597,209292,13
6/1/2021,Desktop,Networks,image_ad,none,Retargeting,797024,455,36140,4
6/1/2021,Mobile,Networks,image_ad,none,Retargeting,47419,495,9480,2
6/1/2021,Desktop,Search,mcbanner,Brand,Phrase,10482,16,12696,4
6/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,4638,13,10896,1
6/1/2021,Desktop,Search,mcbanner,Other,Phrase,22920,73,60798,8
6/1/2021,Mobile,Search,mcbanner,Brand,Phrase,12,0,0,0
6/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,4,0,0,0
6/1/2021,Mobile,Search,mcbanner,Other,Phrase,60,0,0,0
6/1/2021,Desktop,Search,mcbanner,Brand,Phrase,0,0,0,0
6/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,0,0,0,0
6/1/2021,Desktop,Search,mcbanner,Other,Phrase,0,0,0,0
6/1/2021,Mobile,Search,mcbanner,Other,Phrase,0,0,0,0
6/1/2021,Desktop,Search,mcbanner,Brand,Phrase,10984,15,10033,1
6/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,35281,27,21853,1
6/1/2021,Desktop,Search,mcbanner,Other,Phrase,9581,11,10640,1
6/1/2021,Mobile,Search,mcbanner,Brand,Phrase,62,0,0,0
6/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,150,0,0,0
6/1/2021,Mobile,Search,mcbanner,Other,Phrase,30,0,0,0
6/1/2021,Desktop,Search,mcbanner,Brand,Phrase,2154,0,0,0
6/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,30059,15,4270,0
6/1/2021,Desktop,Search,mcbanner,Other,Phrase,1890,5,1308,0
6/1/2021,Mobile,Search,mcbanner,Brand,Phrase,3,0,0,0
6/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,16,0,0,0
6/1/2021,Desktop,Search,mcbanner,Brand,Phrase,47086,77,127717,9
6/1/2021,Desktop,Search,mcbanner,Competitor,Phrase,25077,102,111578,5
6/1/2021,Desktop,Search,mcbanner,Other,Phrase,239098,393,469021,18
6/1/2021,Mobile,Search,mcbanner,Brand,Phrase,177,1,1852,0
6/1/2021,Mobile,Search,mcbanner,Competitor,Phrase,151,0,0,0
6/1/2021,Mobile,Search,mcbanner,Other,Phrase,1246,1,1774,0
6/1/2021,Desktop,Search,text,Brand,Phrase,103078,14949,1484361,1066
6/1/2021,Desktop,Search,text,Competitor,Phrase,0,0,0,0
